,edges.from,edges.to,edges.weight
0,1,153,5.775732824323111
1,1,210,5.66991287521477
2,2,179,6.22733265142558
3,2,198,6.8315212767139295
4,2,374,5.875451548910509
5,2,443,5.97010614026791
6,2,451,7.1916301353785705
7,3,148,9.95794497729668
8,4,102,5.426687057566951
9,4,229,6.70472266777834
10,4,321,6.00719989052666
11,4,376,7.40027271367743
12,4,712,8.28944576544428
13,4,770,6.55935543120301
14,5,60,7.77938719659186
15,5,273,6.4975851822210595
16,5,382,6.461147780575041
17,5,570,5.9240482703990995
18,6,71,9.66369936967464
19,6,587,7.4547667471013
20,6,614,10.1403525092884
21,7,183,6.49141376521173
22,8,77,5.5320949919881794
23,8,242,7.04953581958156
24,8,519,6.3385894738789705
25,9,464,7.6438265643298
26,9,554,8.49337974095098
27,10,417,8.74860058837179
28,10,463,7.58147182935021
29,10,796,12.567178999319802
30,11,137,6.7810866659529605
31,11,173,5.78399222351707
32,11,556,9.58147929777743
33,12,153,6.779304059336929
34,12,359,6.75907465832065
35,12,696,6.52377803608616
36,13,241,10.1485550010211
37,13,597,8.92805520597778
38,14,264,6.86948293541086
39,14,335,7.365438284885419
40,15,20,4.576416685156411
41,16,358,4.786967621234901
42,17,134,7.2691171210262
43,18,31,5.0135159615383795
44,18,473,5.03726308155546
45,18,569,5.88297918684587
46,19,67,6.78308253703393
47,19,129,6.879474886233361
48,19,190,9.19098745452522
49,20,195,3.9430514277362
50,20,211,4.29604044114975
51,20,247,3.75742325616144
52,21,495,5.486133930209581
53,21,546,5.652817935787
54,22,70,5.79878381306378
55,22,251,5.26821499432121
56,23,273,5.6702286747649095
57,23,655,6.76173617159306
58,23,695,9.16744068512582
59,24,236,5.7976867562047
60,24,285,5.49386383010144
61,25,48,5.73271358636057
62,25,272,6.212405671107299
63,26,398,3.22640643215244
64,26,521,4.67778292983457
65,27,230,6.906323805643799
66,27,660,7.46816443382156
67,28,375,6.274868047743139
68,28,530,4.450810634050599
69,29,184,5.26079340269287
70,29,314,5.41079946044554
71,29,643,6.571318553882941
72,30,76,6.056259487837981
73,30,147,7.6005079128321205
74,30,259,6.96145734690578
75,30,407,6.73281092134948
76,30,574,7.73441178892754
77,31,52,5.07333805705989
78,31,270,11.998181382219999
79,31,726,4.3070537661161294
80,32,609,5.868912937636781
81,32,690,9.8605806490975
82,33,691,7.533707070852389
83,33,769,7.89666762320603
84,34,307,6.7626649880419505
85,34,757,9.30664535840652
86,35,433,7.330010991887209
87,35,656,10.398835869633501
88,36,111,6.31204021732308
89,37,83,3.54685370315041
90,37,296,3.72514922414636
91,37,521,3.4352389345827206
92,38,551,7.343920297665861
93,38,632,6.32314525839638
94,38,747,7.73030791558097
95,39,119,5.57842469110214
96,39,163,4.71743554129832
97,39,209,6.766644666232059
98,39,245,5.89536643837797
99,39,439,4.741031665200531
100,40,202,7.59151165105937
101,40,220,5.99012616512921
102,41,91,5.00108982866293
103,41,585,5.747925524930349
104,42,103,7.02980379218181
105,43,532,8.301539266055741
106,44,466,8.7899593027946
107,44,552,8.71868279031138
108,44,763,8.56942524814394
109,45,769,8.93773729565963
110,46,370,7.13411869099025
111,46,791,8.640349173374
112,47,81,5.78786496515108
113,47,260,5.32879339148025
114,47,289,5.12421078055308
115,47,340,5.04631931951388
116,47,584,5.2925659137719405
117,48,260,4.7241498865385
118,49,207,9.859163982215689
119,49,499,10.0342671107675
120,50,97,6.5957025704028
121,50,103,5.960030653581249
122,51,523,11.349322875887198
123,51,784,11.5183836879642
124,52,217,5.53589827736591
125,52,338,6.6849463693125
126,53,491,8.73887650822071
127,54,328,6.42780808610443
128,54,348,9.4864383438001
129,55,126,5.80223271162992
130,55,481,5.74085856028151
131,56,168,6.9400316326097
132,56,295,7.541710884370481
133,57,165,5.1906888678784595
134,57,575,7.823413387597831
135,58,720,7.95069999954834
136,59,593,7.949768364486981
137,61,626,11.612667655088101
138,61,694,9.414744812834561
139,62,255,5.79274340874209
140,62,376,6.83678424038555
141,62,515,7.28321399813938
142,62,611,7.461887485930481
143,62,663,5.498063485525429
144,63,300,5.717574045419531
145,63,531,6.09582018418031
146,64,600,8.08678666665633
147,65,142,9.75797287687853
148,66,192,8.0882531549755
149,68,322,6.9433852777732
150,69,101,5.21873337455055
151,69,253,5.6522794816943005
152,69,680,5.7222719398429405
153,72,116,6.618909133740799
154,72,227,7.58719934872043
155,72,322,7.43780262606245
156,72,443,5.81337606825156
157,73,236,7.056632548948199
158,74,183,5.07798659975077
159,74,220,5.13390561336025
160,75,76,6.85318079326161
161,75,159,7.464125219791519
162,75,491,7.58904929147545
163,75,536,10.150243705872699
164,76,123,6.24708854907737
165,76,191,7.3184832474528
166,76,362,6.90729083015072
167,76,548,6.8546006399621
168,76,627,6.77861222572789
169,76,668,6.642618902430691
170,76,765,7.035280063029241
171,77,600,7.1724984957743
172,78,411,5.78965172264867
173,78,421,8.548200719951401
174,79,134,8.41427101787024
175,80,116,6.733977913408481
176,80,730,9.21974595472514
177,82,290,5.70371800265659
178,82,581,6.458249770276389
179,82,726,5.32275293231931
180,84,144,6.679053209320589
181,84,289,6.47322879725257
182,84,478,6.61394119677142
183,84,776,7.397553371667769
184,84,781,6.366740661708111
185,85,219,4.67748780719494
186,86,119,6.92671887438809
187,87,295,7.13835306287371
188,88,471,7.4812846229325
189,88,523,8.68757509622002
190,89,674,11.7512480303953
191,90,105,10.5042519888906
192,91,113,5.72364497594113
193,91,262,6.1264003548286
194,91,429,5.91022368978575
195,91,609,6.15169278689744
196,92,532,10.767661157149
197,93,110,4.36011604359328
198,93,247,4.39104088191821
199,93,540,4.913937627192441
200,94,474,7.6256049725056
201,95,111,4.71134787045807
202,95,143,6.21746069016093
203,95,367,5.51965617998479
204,96,264,6.5415790741776005
205,96,438,6.7512049790930195
206,96,645,6.664180850894329
207,97,111,4.81042920778915
208,97,282,4.811575604832361
209,98,473,4.78965193171542
210,99,274,6.715789580081509
211,99,519,6.7055321066953395
212,100,205,4.84803508293213
213,100,521,4.04530732194579
214,101,220,5.519789765238321
215,101,222,5.086745572208089
216,101,598,5.71046354603783
217,101,625,5.76548032639735
218,102,433,6.66081795863171
219,104,307,6.22152245062121
220,104,367,5.81825500545865
221,105,515,6.701719019275299
222,105,608,7.024810350896339
223,105,737,7.709256220296591
224,106,149,10.334987403629901
225,106,298,9.06228128884025
226,106,327,8.55487126221779
227,106,356,7.7896908447544595
228,106,447,8.01716431084491
229,106,526,8.65510127000587
230,106,678,9.370167674286268
231,107,520,7.11456383111306
232,108,408,9.761357216779642
233,109,479,6.1327243661766895
234,109,562,6.55986816683004
235,109,613,6.91861773952154
236,110,389,5.90805353835235
237,110,521,3.49246788584775
238,111,333,4.73615075497504
239,111,423,4.4235539412852996
240,111,473,5.21157521013369
241,112,560,9.153693651359688
242,113,465,6.8227579706696995
243,113,620,6.67065449984264
244,114,257,5.47165568407559
245,114,629,6.39884209346745
246,115,167,4.53808567194011
247,115,329,5.1556101409055195
248,116,134,7.06034434857263
249,116,658,7.46275704153938
250,117,430,5.98214827859547
251,117,618,7.28157797978469
252,117,711,14.8634180103915
253,118,153,7.1561757845977105
254,119,154,5.44870499274082
255,119,288,7.79904240071056
256,120,230,6.4966390945739905
257,121,230,5.17634023676646
258,121,484,6.404511241358019
259,122,217,6.46733365290831
260,124,244,10.053388224707401
261,124,284,10.4164198630931
262,124,287,9.13201575667919
263,124,751,9.84338887975515
264,125,369,7.35802390974893
265,127,542,11.669969584042802
266,128,301,6.3362751358213
267,128,316,8.33750761534054
268,128,470,8.5143533445078
269,129,137,4.902154983925639
270,129,326,8.50394337740715
271,129,365,9.09816790859266
272,129,466,6.494094094477509
273,130,372,5.2678250038585706
274,130,450,5.9188949597605705
275,131,349,6.137442095218019
276,132,236,6.730262900937901
277,132,426,9.785007056988391
278,132,616,8.09705336418105
279,133,144,7.1637790838432
280,134,287,7.2697319103912905
281,134,471,6.64555551636778
282,135,285,4.85996554456373
283,135,530,4.9776475045392194
284,136,764,9.29684828401581
285,137,274,6.1584992061743
286,137,392,6.5803412963452494
287,138,372,5.92461605076313
288,139,286,6.546394586447801
289,139,307,5.942645137412
290,139,312,6.59530858626438
291,140,328,7.385588601832111
292,140,354,8.71680935418218
293,140,503,8.00354804570867
294,141,167,4.46458218641651
295,141,268,6.562689013160631
296,141,342,6.37807426420794
297,142,146,8.227800427841
298,142,274,5.34945328824617
299,142,766,7.9282577506363205
300,144,599,6.807470735475019
301,145,158,9.32435198322231
302,145,499,9.76243709208015
303,145,605,9.84613448881142
304,147,330,8.727813102770691
305,148,228,6.12877081051982
306,148,324,6.814639326184841
307,148,476,8.43094136712495
308,150,163,6.92090405067734
309,150,589,5.503368402585489
310,150,649,8.421367854746551
311,151,249,6.657364543759299
312,151,369,6.53802228059373
313,151,436,5.909467656225471
314,151,537,4.64511935245221
315,151,546,4.545301834595509
316,151,628,8.259026159706169
317,152,277,12.1969219808864
318,152,615,9.639890310275439
319,152,633,10.081246044571099
320,153,183,4.627986013746209
321,153,508,7.23592383729641
322,153,580,5.91283160382367
323,155,573,6.61245901770069
324,156,674,8.51071869796772
325,157,549,5.192928190026071
326,157,717,6.02643616204692
327,159,401,8.85241029776276
328,159,579,7.22368886565979
329,160,259,8.47860106168906
330,161,282,5.27376117155322
331,162,206,6.67002186590467
332,162,589,8.04501746132766
333,162,743,11.226439021073698
334,163,231,5.059189244643941
335,163,540,4.60149925150967
336,164,168,6.83049573492086
337,166,287,8.2632405853645
338,167,341,6.16802484450946
339,169,564,10.8119890866971
340,170,379,6.48020978844734
341,170,381,6.20614667635343
342,171,267,10.034889697148499
343,172,579,7.39205570017899
344,172,617,7.13832353910475
345,174,201,7.91193184457367
346,175,381,6.90548482020396
347,176,735,8.80181055487609
348,177,387,5.11694248964992
349,177,533,6.09143456482129
350,178,300,5.18248849063785
351,178,530,5.38595523187052
352,179,302,7.90007193035773
353,180,370,7.82963433586939
354,181,522,4.4121411769384595
355,182,406,15.2953259113451
356,183,243,4.35883616151057
357,183,266,4.8863953397902
358,184,367,5.60658989784751
359,184,387,4.82717718037374
360,184,450,4.42372453651498
361,185,327,8.0210513607146
362,186,465,6.2523313596268
363,186,715,7.46743129469592
364,187,343,9.70338624129058
365,187,370,8.23354134233464
366,188,201,8.11914340553795
367,188,779,15.402713822172899
368,189,487,9.314606123707339
369,190,612,13.1984619006391
370,192,515,6.857913477508579
371,192,760,11.555778581786099
372,193,344,5.63038186646829
373,193,718,11.137251876575402
374,194,268,7.013772009054411
375,194,345,7.4360353005513895
376,195,493,6.16038952321482
377,196,735,8.92659833353489
378,197,206,8.19687086331885
379,198,440,8.06546792484404
380,199,324,8.22474611853225
381,200,327,10.8066148105817
382,201,615,8.64030258539434
383,203,439,5.448778410406541
384,204,274,5.942656423154629
385,206,583,6.87958607381991
386,207,461,8.12687851236892
387,207,512,12.6358328200542
388,208,534,9.00084245236138
389,210,294,5.649173181136
390,210,549,5.60522292107553
391,211,213,3.9414354090956896
392,211,358,4.6966478487505
393,211,508,5.8658813638221
394,211,543,4.9227639493376705
395,211,652,11.1089132783326
396,212,282,5.8352862940556
397,213,344,5.443017627752191
398,214,217,6.82898202724424
399,214,269,7.22038781021941
400,215,770,6.51943883918029
401,215,798,17.4749663232966
402,216,502,9.060990591328679
403,217,279,6.567601187511849
